Template,Function,Genome,Score,Expected,Template_length,Template_Identity,Template_Coverage,Query_Identity,Query_Coverage,Depth,q_value,p_value,shotgunReadcount,RelavantPercentInVF,PercentageInShotgun,SampleID
VFG045632,"Collagen binding MSCRAMM, EcbA",Enterococcus faecium DO,371676,2576,3228,98.98,100,98.98,100,124.46,364016.63,1e-26,7215105,0.130008835013124,0.000767549776577853,668X
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,137630,2696,3147,85.7,97.24,88.14,102.84,65.11,129748.23,1e-26,7215105,0.0644761255666891,0.000380655943638922,668X
VFG043626,"fimbrial chaperone protein mrkB precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,180812,593,702,99.86,100,99.86,100,272.13,179039.2,1e-26,7215105,0.0618191568966518,0.000364969658096439,668X
VFG043624,"fimbrial adhesin protein precursor MrkD",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,167784,845,996,99.1,100,99.1,100,179.7,165264.75,1e-26,7215105,0.0579184538202582,0.000341940578769021,668X
VFG043518,"collagen adhesin precursor Acm",Enterococcus faecium str. TX2555,157485,1844,2166,100,100,100,100,72.94,152036.6,1e-26,7215105,0.0511250511165033,0.000301833498915993,668X
VFG043627,"type 3 fimbrial major pilin subunit MrkA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,137217,521,609,99.34,100,99.34,100,248.66,135660.34,1e-26,7215105,0.049004139321391,0.000289312000863069,668X
VFG043510,"Enterococcus faecalis surface protein Fss3, fibrinogen binding protein",Enterococcus faecalis V583,135339,2767,3228,76.8,84.05,91.37,118.98,52.3,127257.93,1e-26,7215105,0.0459179485041955,0.000271091661668614,668X
VFG043623,"type 3 fimbrial minor pilin subunit MrkF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,120814,547,636,99.69,100,99.69,100,200.17,119182.11,1e-26,7215105,0.041197005435006,0.000243220026655291,668X
VFG048348,"phosphodiesterase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,120411,617,717,99.72,100,99.72,100,169.9,118572.48,1e-26,7215105,0.0394204954655146,0.000232731817680618,668X
VFG049120,"allantoinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,67149,1190,1362,80.76,90.46,89.29,110.55,69.42,63660.63,1e-26,7215105,0.0276775627645599,0.000163403564950127,668X
VFG049122,"allantoate amidohydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,69407,1079,1236,78.96,86.89,90.88,115.08,76.35,66234.4,1e-26,7215105,0.0265342522415058,0.000156653656480902,668X
VFG043519,"collagen adhesin protein Scm",Enterococcus faecium DO,83200,1725,1983,95.16,95.26,99.89,104.98,42.12,78163.66,1e-26,7215105,0.025747270627028,0.000152007452534051,668X
VFG048518,"outer membrane receptor FepA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,49401,1958,2229,82.23,95.47,86.14,104.75,35.43,43824.11,1e-26,7215105,0.0243981943994847,0.000144042738774923,668X
VFG049118,"DNA-binding transcriptional repressor AllR",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,54366,718,819,92.31,100,92.31,100,84.95,52248.4,1e-26,7215105,0.0225142160294675,0.000132920054867801,668X
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,47504,748,852,89.79,100,89.79,100,78.79,45304.17,1e-26,7215105,0.0217230218591473,0.000128248980716589,668X
VFG049124,"ureidoglycolate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,45493,923,1050,85.9,97.24,88.34,102.84,62.68,42796.41,1e-26,7215105,0.0207096510383326,0.000122266213875948,668X
VFG048639,"type VI secretion system contractile sheath large subunit VipB",Klebsiella pneumoniae subsp. pneumoniae HS11286,41057,1360,1545,72.56,83.43,86.97,119.86,40.71,37149.96,1e-26,7215105,0.0169809261678468,0.000100252464264448,668X
VFG049133,"acriflavine resistance protein A",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,36745,1052,1194,73.45,84.51,86.92,118.33,44.95,33704.36,1e-26,7215105,0.0146774857883278,8.66533488775462e-05,668X
VFG048459,"enterobactin exporter EntS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,26911,1098,1242,79.71,92.67,86.01,107.91,32.84,23789.12,1e-26,7215105,0.0122313234584259,7.22116276699083e-05,668X
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,28789,919,1041,78,88.95,87.69,112.42,40.34,26143.55,1e-26,7215105,0.012087656772751,7.1363444294676e-05,668X
VFG049114,"DNA-binding transcriptional activator AllS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,23446,817,924,86.9,99.68,87.19,100.33,40.33,21103.35,1e-26,7215105,0.0120203680787791,7.09661834314498e-05,668X
VFG048488,"iron-enterobactin transporter ATP-binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,25152,703,795,74.09,84.15,88.04,118.83,48.54,23119.15,1e-26,7215105,0.0105082540763506,6.20389227217674e-05,668X
VFG049116,"ureidoglycolate hydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,20943,427,483,88.61,100,88.61,100,61.5,19694.29,1e-26,7215105,0.00961239902014211,5.67499487211192e-05,668X
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,19899,576,651,87.4,97.39,89.75,102.68,40.71,18234.18,1e-26,7215105,0.00835229837905137,4.93105315043033e-05,668X
VFG048409,"2,3-dihydroxybenzoate-2,3-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,17734,696,786,72.26,83.21,86.85,120.18,34.08,15749.5,1e-26,7215105,0.00721285494116067,4.2583453640035e-05,668X
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,12109,865,975,86.05,86.05,100,116.21,12.45,9743.39,1e-26,7215105,0.00338013764430467,1.99557506489965e-05,668X
VFG048297,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,6573,445,501,70.46,84.63,83.25,118.16,22.29,5349.9,1e-26,7215105,0.00305831122826568,1.80557429018104e-05,668X
VFG043625,"fimbrial biogenesis outer membrane usher protein mrkC precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,1701600,5991,2487,99.56,100,99.56,100,734.62,1683709.78,1e-26,28100027,0.16731514079841,0.000888788839541267,668Y
VFG045632,"Collagen binding MSCRAMM, EcbA",Enterococcus faecium DO,937942,8394,3228,98.95,100,98.95,100,315.89,913055.66,1e-26,28100027,0.0933826327771756,0.00049605457953942,668Y
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,503989,8525,3147,87.96,100,87.96,100,240.17,478979.56,1e-26,28100027,0.0692169105760336,0.000367684701659046,668Y
VFG043624,"fimbrial adhesin protein precursor MrkD",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,597089,2673,996,99.1,100,99.1,100,643.29,589115.76,1e-26,28100027,0.0586763173602033,0.000311692389381331,668Y
VFG043626,"fimbrial chaperone protein mrkB precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,592552,1885,702,99.86,100,99.86,100,904.93,586920.64,1e-26,28100027,0.0581766632321942,0.000309038194366546,668Y
VFG048498,"enterobactin synthase subunit F",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,425132,10595,3882,77.2,88.51,87.22,112.98,169.52,394376.64,1e-26,28100027,0.0533415370245561,0.000283353691513932,668Y
VFG043627,"type 3 fimbrial major pilin subunit MrkA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,452180,1656,609,99.34,100,99.34,100,822.21,447234.12,1e-26,28100027,0.0458560621445664,0.000243590365252759,668Y
VFG043510,"Enterococcus faecalis surface protein Fss3, fibrinogen binding protein",Enterococcus faecalis V583,365246,8857,3228,83.77,91.88,91.17,108.83,142.74,339513.1,1e-26,28100027,0.038770099458678,0.00020594927358245,668Y
VFG048348,"phosphodiesterase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,409647,1958,717,99.72,100,99.72,100,578.85,403809.77,1e-26,28100027,0.0380086026456473,0.000201904153305001,668Y
VFG043623,"type 3 fimbrial minor pilin subunit MrkF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,380934,1741,636,99.69,100,99.69,100,634.44,375741.26,1e-26,28100027,0.0369525473560219,0.000196294319366012,668Y
VFG043518,"collagen adhesin precursor Acm",Enterococcus faecium str. TX2555,338365,5956,2166,100,100,100,100,156.77,320908.46,1e-26,28100027,0.0310969733000352,0.000165189131603365,668Y
VFG049122,"allantoate amidohydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,238957,3428,1236,90.53,100,90.53,100,266.71,228864.69,1e-26,28100027,0.0301893999000882,0.000160368043056995,668Y
VFG049120,"allantoinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,225910,3782,1362,88.91,100,88.91,100,237.47,214810.58,1e-26,28100027,0.0296198305694047,0.000157342453967802,668Y
VFG048518,"outer membrane receptor FepA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,167993,6224,2229,82.19,95.24,86.29,104.99,119.62,150208.94,1e-26,28100027,0.0232557292934044,0.000123535936752277,668Y
VFG049118,"DNA-binding transcriptional repressor AllR",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,192094,2281,819,92.31,100,92.31,100,301.85,185357.08,1e-26,28100027,0.0226397586141957,0.000120263860701342,668Y
VFG049124,"ureidoglycolate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,156691,2934,1050,87.62,99.52,88.04,100.48,217.73,148103.98,1e-26,28100027,0.0208360144102059,0.000110682254934862,668Y
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,149454,2382,852,89.79,100,89.79,100,246.61,142456.43,1e-26,28100027,0.0192418572357458,0.000102213989012402,668Y
VFG043519,"collagen adhesin protein Scm",Enterococcus faecium DO,210984,5515,1983,98.89,98.89,100,101.12,106.9,194998.37,1e-26,28100027,0.0191977135136232,0.000101979494707995,668Y
VFG048429,"enterobactin synthase subunit E",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,168592,4489,1608,71.77,82.28,87.23,121.54,153.06,155589.45,1e-26,28100027,0.0185455085338919,9.85149397112847e-05,668Y
VFG048639,"type VI secretion system contractile sheath large subunit VipB",Klebsiella pneumoniae subsp. pneumoniae HS11286,148151,4321,1545,75.15,86.54,86.84,115.56,148.22,135676.75,1e-26,28100027,0.0181488409093751,9.64078156578635e-05,668Y
VFG049133,"acriflavine resistance protein A",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,129902,3344,1194,81.49,93.89,86.8,106.51,159.74,120203.48,1e-26,28100027,0.0163996302359842,8.71158955297891e-05,668Y
VFG049114,"DNA-binding transcriptional activator AllS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,90526,2597,924,87.23,100,87.23,100,155.27,83023.72,1e-26,28100027,0.0131388161110036,6.97942401896242e-05,668Y
VFG048459,"enterobactin exporter EntS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,99192,3488,1242,80.27,93.08,86.25,107.44,122.26,89199.67,1e-26,28100027,0.012943718878651,6.87578710845154e-05,668Y
VFG048488,"iron-enterobactin transporter ATP-binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,90349,2234,795,87.8,100,87.8,100,176.17,83860.66,1e-26,28100027,0.0128261345984458,6.8133255789969e-05,668Y
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,95713,2924,1041,80.31,91.83,87.45,108.89,133.75,87285.03,1e-26,28100027,0.0117091620001392,6.21998251708929e-05,668Y
VFG049116,"ureidoglycolate hydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,79068,1358,483,88.61,100,88.61,100,231.77,75083.02,1e-26,28100027,0.0102518221091542,5.44583414991528e-05,668Y
VFG048409,"2,3-dihydroxybenzoate-2,3-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,85077,2210,786,72.52,83.72,86.63,119.45,164.85,78669.61,1e-26,28100027,0.00993430357890664,5.277166254897e-05,668Y
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,68507,1833,651,89.71,100,89.71,100,140.88,63197.92,1e-26,28100027,0.00839898956440452,4.46159752945517e-05,668Y
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,51390,3969,1407,70.15,81.31,86.28,122.99,50.11,40620.49,1e-26,28100027,0.00524999840389332,2.78883307674579e-05,668Y
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,38767,2753,975,99.9,100,99.9,100,39.99,31237.25,1e-26,28100027,0.003570694790781,1.89677614608591e-05,668Y
VFG048297,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,21039,1416,501,74.65,89.22,83.67,112.08,73.23,17146.01,1e-26,28100027,0.00299768288969614,1.59238852152408e-05,668Y
VFG001359,"manganese ABC transporter, manganese-binding adhesion liprotein",Streptococcus pneumoniae TIGR4,1118,2635,930,73.33,79.89,91.79,125.17,1.63,613.19,1e-26,28100027,0.000110907185484044,5.89146135925127e-07,668Y
VFG002179,"Enterococcal surface protein; Esp",Enterococcus faecalis str. MMH594,973047,6915,5622,71.34,78,91.47,128.21,209.66,952495.03,1e-26,17008996,0.146889796148449,0.00076699792948156,668Z
VFG045632,"Collagen binding MSCRAMM, EcbA",Enterococcus faecium DO,705551,4184,3228,96.25,100,96.25,100,253.5,693096.27,1e-26,17008996,0.130738076907544,0.000682660313526116,668Z
VFG043510,"Enterococcus faecalis surface protein Fss3, fibrinogen binding protein",Enterococcus faecalis V583,521340,4333,3228,84.85,93.18,91.06,107.31,203.62,508483.17,1e-26,17008996,0.0978514505385245,0.000510939915009258,668Z
VFG043625,"fimbrial biogenesis outer membrane usher protein mrkC precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,567421,3309,2487,99.56,100,99.56,100,243.39,557570.03,1e-26,17008996,0.0967094957085523,0.000504977097896591,668Z
VFG043518,"collagen adhesin precursor Acm",Enterococcus faecium str. TX2555,514998,2910,2166,100,100,100,100,238.58,506332.57,1e-26,17008996,0.0825625483402276,0.000431107573773732,668Z
VFG043519,"collagen adhesin protein Scm",Enterococcus faecium DO,270606,2785,1983,98.29,98.29,100,101.74,137.39,262363.07,1e-26,17008996,0.04278364435917,0.000223398544348143,668Z
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,162954,4506,3147,87.96,100,87.96,100,77.49,149919.38,1e-26,17008996,0.0389612611724493,0.000203439635923101,668Z
VFG043626,"fimbrial chaperone protein mrkB precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,190424,999,702,99.86,100,99.86,100,290.84,187445.36,1e-26,17008996,0.0326198418253847,0.00017032735966766,668Z
VFG048498,"enterobactin synthase subunit F",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,135179,5587,3882,79.39,89.77,88.44,111.39,53.4,119304.68,1e-26,17008996,0.0297316229108048,0.000155246271767358,668Z
VFG043624,"fimbrial adhesin protein precursor MrkD",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,170027,1423,996,99.1,100,99.1,100,183.37,165802.99,1e-26,17008996,0.0291795255492329,0.000152363447062707,668Z
VFG043627,"type 3 fimbrial major pilin subunit MrkA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,152134,873,609,99.34,100,99.34,100,276.03,149534.34,1e-26,17008996,0.0268574131961617,0.000140238334130906,668Z
VFG043623,"type 3 fimbrial minor pilin subunit MrkF",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,124618,916,636,99.69,100,99.69,100,206.58,121895.88,1e-26,17008996,0.0209911383700418,0.000109607066586245,668Z
VFG048348,"phosphodiesterase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,123651,1033,717,99.72,100,99.72,100,174.81,120585.7,1e-26,17008996,0.020025161679189,0.000104563134732308,668Z
VFG049120,"allantoinase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,75696,1979,1362,88.91,100,88.91,100,79.84,69959.95,1e-26,17008996,0.0173735368021507,9.07174433107279e-05,668Z
VFG049122,"allantoate amidohydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,76563,1795,1236,90.53,100,90.53,100,85.56,71340.12,1e-26,17008996,0.0168958423792052,8.82231200634292e-05,668Z
VFG048518,"outer membrane receptor FepA",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,59058,3249,2229,84.21,96.72,87.06,103.39,41.84,49988.24,1e-26,17008996,0.0144114817097187,7.52508133440714e-05,668Z
VFG049118,"DNA-binding transcriptional repressor AllR",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,59910,1193,819,92.31,100,92.31,100,93.12,56423.47,1e-26,17008996,0.0121847738134706,6.36238631353823e-05,668Z
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,78656,1416,975,95.69,95.69,100,104.5,81,74508.12,1e-26,17008996,0.0120738782399427,6.30448121902874e-05,668Z
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,50442,1243,852,89.79,100,89.79,100,82.92,46831.59,1e-26,17008996,0.0112872849979737,5.89375467181185e-05,668Z
VFG049124,"ureidoglycolate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,48129,1532,1050,87.62,99.52,88.04,100.48,66.66,43719.33,1e-26,17008996,0.0111289855479888,5.81109722823167e-05,668Z
VFG048429,"enterobactin synthase subunit E",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,54889,2345,1608,74.94,85.07,88.08,117.54,49.24,48237.61,1e-26,17008996,0.0107614582260796,5.61918961972264e-05,668Z
VFG049133,"acriflavine resistance protein A",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,45218,1744,1194,87.86,100,87.86,100,55.34,40244.65,1e-26,17008996,0.0105568435218219,5.5123482606751e-05,668Z
VFG048639,"type VI secretion system contractile sheath large subunit VipB",Klebsiella pneumoniae subsp. pneumoniae HS11286,41798,2258,1545,78.83,90.23,87.37,110.83,41.68,35485.88,1e-26,17008996,0.00928320100459601,4.84730467070056e-05,668Z
VFG048439,"isochorismate synthase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,41660,1736,1188,79.29,88.8,89.29,112.61,53.49,36728.6,1e-26,17008996,0.0090155579032059,4.70755248233291e-05,668Z
VFG048468,"iron-enterobactin transporter membrane protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,37900,1474,1008,78.97,88.79,88.94,112.63,56.78,33698.11,1e-26,17008996,0.00811915026149506,4.23948538496365e-05,668Z
VFG048808,"phosphomannomutase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,36634,2005,1371,71.92,82.79,86.87,120.79,41.71,31033.24,1e-26,17008996,0.00756390612002542,3.94955979582771e-05,668Z
VFG049114,"DNA-binding transcriptional activator AllS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,27733,1353,924,87.23,100,87.23,100,47.63,23923.92,1e-26,17008996,0.00703142186986922,3.67151848318363e-05,668Z
VFG048488,"iron-enterobactin transporter ATP-binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,27730,1164,795,88.05,99.37,88.61,100.63,54.02,24423.78,1e-26,17008996,0.00681816647662367,3.56016531273957e-05,668Z
VFG048459,"enterobactin exporter EntS",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,30988,1818,1242,75.6,87.44,86.46,114.36,38.31,25935.17,1e-26,17008996,0.00664713500455299,3.47085973236977e-05,668Z
VFG049116,"ureidoglycolate hydrolase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,26757,707,483,88.61,100,88.61,100,79.38,24706.97,1e-26,17008996,0.00612560273542984,3.19853709249694e-05,668Z
VFG048409,"2,3-dihydroxybenzoate-2,3-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,27065,1151,786,72.39,83.33,86.87,120,51.5,23798.17,1e-26,17008996,0.0053891684623408,2.81400148997782e-05,668Z
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,23730,954,651,89.71,100,89.71,100,49.16,21014.6,1e-26,17008996,0.00511309033306257,2.66984487795723e-05,668Z
VFG048797,"UDP-glucose 6-dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,17747,1712,1167,83.63,94.77,88.25,105.52,24.26,13211.82,1e-26,17008996,0.00428670044368121,2.23833816290983e-05,668Z
VFG048449,"iron-enterobactin transporter periplasmic binding protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,16323,1409,960,86.46,95.1,90.91,105.15,28.07,12543.39,1e-26,17008996,0.00409434811749126,2.13789971191657e-05,668Z
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,17978,2064,1407,72,81.81,88.01,122.24,17.18,12634.04,1e-26,17008996,0.00315947011867361,1.6497449808103e-05,668Z
VFG048297,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,6929,736,501,82.63,96.41,85.71,103.73,23.14,5002.52,1e-26,17008996,0.00178572165832215,9.3243019629443e-06,668Z
VFG048287,"type 1 fimbrial minor component",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,5210,780,531,74.76,84.75,88.22,118,17.59,3274.56,1e-26,17008996,0.00126470917761506,6.60378968493331e-06,668Z
VFG002414,"E. coli common pilus structural subunit EcpA",Escherichia coli O157:H7 str. EDL933,5506,864,588,73.47,85.88,85.54,116.44,15.65,3381.49,1e-26,17008996,0.00126262477412436,6.59290578963564e-06,668Z
VFG048338,"LuxR family regulatory protein",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,2567,860,585,88.21,89.23,98.85,112.07,4.97,849.45,1e-26,17008996,0.000414489707279289,2.16429429143837e-06,668Z
VFG048758,"type VI secretion system protein TssA",Klebsiella pneumoniae subsp. pneumoniae HS11286,338,600,408,86.27,87.99,98.05,113.65,0.88,73.4,1e-16,17008996,5.04738875287794e-05,2.63553822270505e-07,668Z
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,40125,383,3147,81.57,94.31,86.49,106.03,19.78,38989.72,1e-26,26431046,0.142217749860971,3.0326550381442e-05,FMT.0001A
VFG002277,"hyaluronidase",Clostridium perfringens str. 13,52035,580,4887,98.36,99.96,98.4,100.04,11.31,50318.07,1e-26,26431046,0.133845637146935,2.85412788645635e-05,FMT.0001A
VFG002284,"exo-alpha-sialidase",Clostridium perfringens str. 13,48696,421,3522,98.72,100,98.72,100,14.44,47446.21,1e-26,26431046,0.123205351725598,2.62723416030856e-05,FMT.0001A
VFG001443,"outer membrane protein A",Escherichia coli O18:K1:H7 str. RS218,25259,130,1041,89.53,100.86,88.76,99.14,33.99,24869.94,1e-26,26431046,0.0864557506568371,1.84358470066013e-05,FMT.0001A
VFG002274,"phospholipase C",Clostridium perfringens str. 13,29091,149,1197,99.42,100,99.42,100,24.85,28647.01,1e-26,26431046,0.0720598861270545,1.53660690683787e-05,FMT.0001A
VFG002280,"hyaluronidase",Clostridium perfringens str. 13,27085,436,3492,98.91,100,98.91,100,8.12,25802.6,1e-26,26431046,0.0686915462206178,1.46478033809084e-05,FMT.0001A
VFG002279,"hyaluronidase",Clostridium perfringens str. 13,25384,377,3006,97.77,100,97.77,100,9.05,24274.6,1e-26,26431046,0.0659038192451696,1.40533477475343e-05,FMT.0001A
VFG002276,"collagenase",Clostridium perfringens str. 13,25169,416,3315,98.52,100,98.52,100,7.94,23947.65,1e-26,26431046,0.0637642217125246,1.35970994069918e-05,FMT.0001A
VFG002278,"hyaluronidase",Clostridium perfringens str. 13,21866,492,3894,95.84,97.02,98.78,103.07,5.9,20432.98,1e-26,26431046,0.0539985697789797,1.15146692204659e-05,FMT.0001A
VFG002283,"exo-alpha-sialidase",Clostridium perfringens str. 13,13124,267,2085,98.9,99.95,98.94,100.05,6.56,12341.63,1e-26,26431046,0.0331181237917784,7.0621174269178e-06,FMT.0001A
VFG002275,"perfringolysin O",Clostridium perfringens str. 13,11038,193,1503,98.94,100,98.94,100,7.64,10469.68,1e-26,26431046,0.0278179656924362,5.93191031995372e-06,FMT.0001A
VFG002285,"sialidase",Clostridium perfringens ATCC 13124,9568,148,1149,96.78,100,96.78,100,9.12,9131.17,1e-26,26431046,0.0253856270299851,5.41323778390485e-06,FMT.0001A
VFG049018,"transcriptional regulator RcsB",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,7606,84,651,83.26,95.55,87.14,104.66,16.83,7356.14,1e-26,26431046,0.0253611430645308,5.40801681667247e-06,FMT.0001A
VFG048830,"6-phosphogluconate dehydrogenase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,7608,182,1407,72.07,83.16,86.67,120.26,8.51,7076.98,1e-26,26431046,0.0241218807533474,5.14375619552873e-06,FMT.0001A
VFG002282,"alpha-clostripain",Clostridium perfringens str. 13,7070,204,1575,90.73,92.32,98.28,108.32,4.68,6478.78,1e-26,26431046,0.0164852385133583,3.51531659595359e-06,FMT.0001A
VFG048419,"2,3-dihydro-2,3-dihydroxybenzoate synthetase, isochroismatase",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,3760,111,852,71.13,80.63,88.21,124.02,7.21,3438.49,1e-26,26431046,0.0119989860190018,2.55866693424136e-06,FMT.0001A
VFG043519,"collagen adhesin protein Scm",Enterococcus faecium DO,4394,259,1983,91.58,91.58,100,109.2,2.22,3674.27,1e-26,26431046,0.00976673391290046,2.08266090808822e-06,FMT.0001A
VFG043518,"collagen adhesin precursor Acm",Enterococcus faecium str. TX2555,4047,283,2166,84.53,84.63,99.89,118.17,1.88,3271.31,1e-26,26431046,0.00834860032499582,1.78025772885604e-06,FMT.0001A
VFG043511,"cell wall anchored protein SgrA",Enterococcus faecium DO,1891,127,975,84.51,84.51,100,118.33,1.94,1539.46,1e-26,26431046,0.00387246476931226,8.25765405807029e-07,FMT.0001A
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,1497,221,1683,71.84,77.72,92.43,128.67,1.13,947.41,1e-26,26431046,0.0035807036536667,7.63550188778068e-07,FMT.0001A
VFG049144,"acriflavine resistance protein B",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,22508,303,3147,92.5,97.97,94.42,102.08,9.27,21612.93,1e-26,17550363,0.0786788551046593,2.24873306757945e-05,FMT.0001E
VFG043625,"fimbrial biogenesis outer membrane usher protein mrkC precursor",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,22379,240,2487,98.51,100,98.51,100,9.62,21668.93,1e-26,17550363,0.0658626656484768,1.88243148639676e-05,FMT.0001E
VFG048498,"enterobactin synthase subunit F",Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044,18909,378,3882,96.65,97.27,99.36,102.81,5.09,17803.9,1e-26,17550363,0.052910355047659,1.51223940479015e-05,FMT.0001E
VFG005197,"Fibronectin-binding protein-like protein A",Streptococcus pneumoniae R6,10784,167,1683,93.58,100,93.58,100,8.57,10292.27,1e-26,17550363,0.0397057482306887,1.13483640427358e-05,FMT.0001E
