accession	study	object_status	bioproject_accession	biosample_accession	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
SRR14092288	SRP199846	new	PRJNA545312	SAMN07562011	FMT.0111F_shotgun	FMT.0111F	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0111F_R1_nohumanreads.fastq.gz	FMT.0111F_R2_nohumanreads.fastq.gz
SRR14092287	SRP199846	new	PRJNA545312	SAMN07562056	FMT.0114A_shotgun	FMT.0114A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0114A_R1_nohumanreads.fastq.gz	FMT.0114A_R2_nohumanreads.fastq.gz
SRR14092286	SRP199846	new	PRJNA545312	SAMN07562059	FMT.0114D_shotgun	FMT.0114D	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0114D_R1_nohumanreads.fastq.gz	FMT.0114D_R2_nohumanreads.fastq.gz
SRR14092285	SRP199846	new	PRJNA545312	SAMN07562064	FMT.0114I_shotgun	FMT.0114I	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0114I_R1_nohumanreads.fastq.gz	FMT.0114I_R2_nohumanreads.fastq.gz
SRR14092284	SRP199846	new	PRJNA545312	SAMN07562065	FMT.0114J_shotgun	FMT.0114J	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0114J_R1_nohumanreads.fastq.gz	FMT.0114J_R2_nohumanreads.fastq.gz
SRR14092283	SRP199846	new	PRJNA545312	SAMN07562081	FMT.0120A_shotgun	FMT.0120A	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0120A_R1_nohumanreads.fastq.gz	FMT.0120A_R2_nohumanreads.fastq.gz
SRR14092282	SRP199846	new	PRJNA545312	SAMN14141301	FMT.0120O_shotgun	FMT.0120O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0120O_R1_nohumanreads.fastq.gz	FMT.0120O_R2_nohumanreads.fastq.gz
SRR14092281	SRP199846	new	PRJNA545312	SAMN12018649	FMT.0136B_shotgun	FMT.0136B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0136B_R1_nohumanreads.fastq.gz	FMT.0136B_R2_nohumanreads.fastq.gz
SRR14092280	SRP199846	new	PRJNA545312	SAMN13174044	FMT.0136G_shotgun	FMT.0136G	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0136G_R1_nohumanreads.fastq.gz	FMT.0136G_R2_nohumanreads.fastq.gz
SRR14092278	SRP199846	new	PRJNA545312	SAMN12019673	FMT.0187B_shotgun	FMT.0187B	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187B_R1_nohumanreads.fastq.gz	FMT.0187B_R2_nohumanreads.fastq.gz
SRR14092277	SRP199846	new	PRJNA545312	SAMN12019674	FMT.0187C_shotgun	FMT.0187C	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187C_R1_nohumanreads.fastq.gz	FMT.0187C_R2_nohumanreads.fastq.gz
SRR14092276	SRP199846	new	PRJNA545312	SAMN12019786	FMT.0187M_shotgun	FMT.0187M	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187M_R1_nohumanreads.fastq.gz	FMT.0187M_R2_nohumanreads.fastq.gz
SRR14092275	SRP199846	new	PRJNA545312	SAMN12019787	FMT.0187O_shotgun	FMT.0187O	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187O_R1_nohumanreads.fastq.gz	FMT.0187O_R2_nohumanreads.fastq.gz
SRR14092274	SRP199846	new	PRJNA545312	SAMN12019788	FMT.0187P_shotgun	FMT.0187P	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187P_R1_nohumanreads.fastq.gz	FMT.0187P_R2_nohumanreads.fastq.gz
SRR14092273	SRP199846	new	PRJNA545312	SAMN13272043	FMT.0187Q_shotgun	FMT.0187Q	WGS	METAGENOMIC	other	PAIRED	Illumina	Illumina HiSeq 1000	gut metagenome human reads removed by kneaddata	fastq	FMT.0187Q_R1_nohumanreads.fastq.gz	FMT.0187Q_R2_nohumanreads.fastq.gz
